data,nivel cm,ARIMA_predistion,GARCH_prediction,ARIMA-LSTM_Pred
2020-03-14,672,673.5746394066034,,
2020-03-15,672,676.2001101407144,,
2020-03-16,670,677.9316429123317,,
2020-03-17,670,679.3689560477212,,
2020-03-18,670,680.3894481508323,,
2020-03-19,670,681.1411278962439,,
2020-03-20,670,681.6444222688226,,
2020-03-21,672,681.9567539903286,,
2020-03-22,674,682.108558214306,,
2020-03-23,674,682.1313925419212,,
2020-03-24,678,682.0483422908942,,
2020-03-25,686,681.879371556511,,
2020-03-26,690,681.640352658796,,
2020-03-27,692,681.3444376429052,,
2020-03-28,694,681.0023023736385,,
2020-03-29,696,680.6227012435678,,
2020-03-30,698,680.2127766758252,,
2020-03-31,564,679.7783703745913,,
2020-04-01,566,679.3242541135938,,708.6437738608847
2020-04-02,566,678.8543279313826,,
2020-04-03,566,678.3717782501484,,
2020-04-04,566,677.8792086813735,,
2020-04-05,566,677.3787463026526,,
2020-04-06,570,676.8721287792422,,
2020-04-07,574,676.3607754675188,,
2020-04-08,580,675.8458455727798,,
2020-04-09,582,675.3282856667076,,
2020-04-10,588,674.808868532124,,
2020-04-11,592,674.2882249094728,,
2020-04-12,596,673.7668694455559,,
2020-04-13,600,673.2452219019558,,
2020-04-14,606,672.7236244896637,,
2020-04-15,608,672.2023560372488,,
2020-04-16,608,671.6816435710634,,
2020-04-17,608,671.161671780167,,
2020-04-18,610,670.6425907523638,,
2020-04-19,612,670.1245222971527,,
2020-04-20,518,669.6075651137064,,
2020-04-21,620,669.0917990148505,,
2020-04-22,624,668.5772883794734,,
2020-04-23,628,668.0640849743056,,
2020-04-24,628,667.5522302602587,,
2020-04-25,632,667.0417572774768,,
2020-04-26,632,666.5326921860528,,
2020-04-27,634,666.0250555253065,,
2020-04-28,636,665.518863243033,,
2020-04-29,640,665.0141275367394,,
2020-04-30,642,664.5108575412105,,
2020-05-01,700,664.0090598904766,,693.5241940127316
2020-05-02,700,663.5087391771222,,
2020-05-03,702,663.0098983276891,,
2020-05-04,704,662.5125389095008,,
2020-05-05,706,662.0166613814329,,
2020-05-06,710,661.5222652988709,,
2020-05-07,714,661.0293494812225,,
2020-05-08,716,660.5379121488231,,
2020-05-09,718,660.0479510348275,,
2020-05-10,720,659.5594634766559,,
2020-05-11,722,659.0724464907273,,
2020-05-12,722,658.586896833537,,
2020-05-13,722,658.1028110515674,,
2020-05-14,720,657.620185522077,,
2020-05-15,720,657.1390164864298,,
